row_id,tweet_id,text,like_count,date
111,1801019294601400812,@LauraLoomer @JoeBiden Stick to policies. Biden only has hoaxes &amp; personal attacks.,0,2024-06-12
112,1801011167759855775,@HaackJoe330 @gtconway3d This MAGA party is trying their best fool the fools.,0,2024-06-12
113,1801008786997395631,Joe hates our military,2,2024-06-12
114,1801007473282703558,@GuntherEagleman Jan 2025 can’t come fast enough.,0,2024-06-12
115,1801348934477983849,"@TxSaving @KelemenCari That wasn't it.  They had to have pre-sorted biden, then further sorted on the surveyor write in position. https://t.co/IcTYkZtKjV",10,2024-06-13
116,1801349069996179604,@NickyCip22 @cryonihilism @waprog @groversmith1 @NateRybner @RedNYPolitics Has nothing to do with Biden not putting the US first 🙄,1,2024-06-13
117,1801032743310037076,"@stridinstrider Because they receive little/no push back from the media, and no repercussions from the party, or frankly, their constituents.",1,2024-06-12
118,1801006103011967201,"@SherrKitts @TheOfficerTatum If Biden was tough, the invasion wouldn't have happened, as it did not happen under Trump. So clearly, Biden is a poor choice on this matter. 

However, unlike Crimea, which concluded well before he took office, Trump threatening appeasement makes him a poor choice on this matter",0,2024-06-12
119,1801018996864721106,See this Instagram photo by @princessmyagraceie https://t.co/CmbPDDiupu,0,2024-06-12
120,1801001825304535123,"Fuck you Joe Biden 🖕🏽

Check out Mikey's video! #TikTok https://t.co/VZGjoR00qj",0,2024-06-12
121,1801012389363728630,Karine-Jean Pierre Doesn’t Rule Out Hunter Biden Commutation #AmericanAirForce #USAirForce #USANewsToday [Video] Karine Jean-Pierre did not rule out the possibility that President Joe Biden might commute his son Hunter Biden's sentence on ... https://t.co/9epuUkxmSp,0,2024-06-12
122,1801035140723831220,@JenC222 You are Biden black! :( the plantation needs you’ :( stay put!,0,2024-06-12
123,1801010352580075689,"RIP Jerry West.  I loved the guy for 50 years.  Why do the good ones keep dying and the evil ones like Rupert Murdoch, Charles Koch, and Donald Trump just keep on going?",0,2024-06-12
124,1801014346186731648,@heydolly144254 @AsteadWH None of those are posted by people who even considered voting for Biden.,0,2024-06-12
125,1801025038813925469,Which Biden is this?,2,2024-06-12
126,1801021229928997316,"@FoundationDads @KathEader This is the best description. A marriage to an emotional cheater, alcoholic, and verbally abusive spouse was not survivable after trying 12 years.",4,2024-06-12
127,1801029202642108624,"@IngrahamAngle the Biden administration is laying the ground work for their own Reichstag fire.

If you keep allowing criminals, gang bangers and terrorists into the country it’s a matter of time before we have a major attack, real or false flag

A DNC rallying cry will follow;",0,2024-06-12
128,1801002678018871462,@MargieVotes Dear @gop https://t.co/LV9vm7Uqsb,2,2024-06-12
129,1801008112293368069,"this guy should not be writing ""neutral"" stories about the election. he clearly has made up his mind that biden's age is the most important factor in the election, and he covers the election from this perspective.",0,2024-06-12
130,1801033092024377796,@Metallicat455 @News12NJ Just stating the fact that Biden reinstated the regulations that Trump took away while president. No snark needed.,2,2024-06-12
131,1801029308971896957,@harryjsisson Biden skips G-20 gala because he 'needed to attend to a few items.  He needs a nap and diaper change.,0,2024-06-12
132,1801035494135894471,@POTUS Every one should report this account for being fake ....we all know Joe Biden could read a statement let alone write one on X...,0,2024-06-12
133,1801027315494789253,"I support President Biden but if I'm going Republican because I do carry, I'm voting Kennedy!!",0,2024-06-12
134,1801001398747685115,@DebLaughton @atensnut @GOP @SpeakerJohnson @mattgaetz @Jim_Jordan Correct,0,2024-06-12
135,1801013128433467489,"@elonmusk @KanekoaTheGreat @MarcoPolo501c3 Completely agree! Plus, i don’t want my tax dollars paying for crack and hookers which is what kickbacks do.",0,2024-06-12
136,1801039136855326824,@BRICSinfo Even in a Dubai they’re choosing Russia over the USA.  Biden’s foreign policies are a disaster and the Middle East know it.,0,2024-06-12
