row_id,text,hashtags,post_type,like_count,date
167,"NEW: Donald Trump has reportedly beefed up his security detail at Mar-a-Lago and now has a robotic dog patrolling the property. 
  
A large warning sign on the side of the robotic dog reads: "" Do Not Pet""  
  
The robot dog was made by Boston Dynamics and is equipped with https://t.co/qLktzbf3m3",[],tweet,74223,2024-11-08
168,"Illegal crossings under Donald Trump:

2017: 310,531 
2018: 404,142 
2019: 859,501 
2020: 405,036

Weak sauce.

Illegal crossings while I’ve been Border Czar:

2021: 1,956,614
2022: 2,936,501
2023: 4,301,908
2024 (so far): 12,884,977

Scoreboard 🏆",[],tweet,296,2024-11-05
169,"Bill Clinton:
""…People in Michigan are thinking about not voting bc they're mad at the Biden admin…that's a mistake.""

""I got news for [Hamas]—[Israelis] were there first before their faith existed.""

Harris said she'll try to negotiate end to violence…""that oughta be enough."" https://t.co/TXxYBvHOiL",[],tweet,5440,2024-10-31
170,BREAKING: Andrew Tate could be UNBANNED from YouTube after Donald Trump’s win 🤯🚨 https://t.co/8SBUXAoUoJ,[],tweet,8910,2024-11-09
171,"I just voted for President Donald Trump 🇺🇸 

Crypto and stocks mooning. Big boys usually know results before hand.

Looks like Trump is our new President! https://t.co/q7LsNkFGTp",[],tweet,12623,2024-11-05
172,"Here’s my full speech at Tucker Carlson’s event with Donald Trump in Glendale, AZ 🇺🇸 https://t.co/lRBqUepnfg",[],tweet,25341,2024-11-01
173,BREAKING: Kamala doesn't mention Joe Biden's name in her entire concession speech🤔,[],tweet,309,2024-11-06
174,"Trump’s Win Isn’t the Finish Line, It’s the Starting Point. Now We Need Conservative Policies https://t.co/omQCYvjZ2M https://t.co/Vkr7bugVeE",[],tweet,18,2024-11-08
175,"“I don’t think you assholes realize what you f**king did electing Donald Trump!”

NAILED IT 😂😂😂😂 https://t.co/id8JJZ7q2a",[],tweet,210030,2024-11-06
176,"It’s official: this born and raised Highland Park single mom, daughter of undocumented immigrants and tenants rights attorney just declared victory against a MAGA slumlord backed corrupt incumbent.

This victory belongs to the people. 

Now let’s get to work. ✊🏽 https://t.co/JgQofKVFF5",[],tweet,2630,2024-11-08
177,"🚨BREAKING: My Father Donald Trump has won the 2024 Election.

If you are voted for this Great Father for making The Next 4 Years Great Again, GIVE ME A THUMBS-UP👍!!

Show Your loyalty for US !!🇺🇲 https://t.co/ahtptVxqoY",[],tweet,92642,2024-11-06
178,for every 50 likes i’ll put donald trump in the garbage where he belongs.,[],tweet,415,2024-11-08
179,Vice President Harris: Donald Trump's remark about doing things to women 'whether they like it or not' is very offensive. He does not understand their agency and their ability to make decisions about their own lives. This is just the latest in a series of reveals by Trump on how https://t.co/7sx9emst25,[],tweet,23463,2024-10-31
180,Did Joe Biden vote for Trump?,[],tweet,9,2024-11-08
181,"Donald Trump has made his way into the clubs 🔥🔥🔥

Let’s go!!! https://t.co/MXFXVxGjtT",[],tweet,45316,2024-11-09
182,"JIM JORDAN: “The biggest question is, what happened to the 10 Million voters that Joe Biden got but didn't come up for Kamala Harris?”

 https://t.co/vRa3SOn1lu",[],tweet,88165,2024-11-10
183,Democrat loser loses his mind as Biden’s failures are pointed out. Well done @ScottJenningsKY. This is a fun watch. https://t.co/ItveKq9X0M,[],tweet,31772,2024-11-08
184,Congrats! Now you're bald and Donald Trump is still the 47th president of the United States.,[],quote,195223,2024-11-09
185,"For now I stay here. But with zero tolerance. 
I immediately block accounts that post hateful MAGA content AND every mutual follower. 
I respect if you’re a normal conservative, who wants to preserve what’s good, but Trump is my red line.",[],tweet,352,2024-11-08
186,"If Kamala wins, you are 3 days away from the start of a 1929-style economic depression. If I win, you are 3 days away from the best jobs, the biggest paychecks, and the brightest economic future the world has ever seen.

Kamala’s inflation nightmare has cost the typical American",[],tweet,689694,2024-11-03
187,BREAKING: Donald Trump to reportedly work on a ban against federal bureaucrats from taking jobs at the companies they deal with and that they regulate.,[],tweet,3923,2024-11-08
188,"🇵🇱 Meanwhile in Poland Parliament 

“Donald Trump, Donald Trump”

Wow - have you ever seen Politicians chant someone’s name in Parliament, because that’s what just happened in the Polish Chamber ‼️ https://t.co/fjVNrOtLWf",[],tweet,14867,2024-11-06
189,"Kash Patel, who is on the shortlist to serve in Trump's administration:

“We’re going to come after the people in the media who lied about American citizens, who helped Joe Biden rig presidential elections. We’re going to come after you.”
https://t.co/mlzHCtPk4a",[],tweet,724,2024-11-08
190,Who else believes that Donald Trump Cheated on the election? ✋🏽,[],tweet,34246,2024-11-08
191,"Donald Trump has promised to ban gender-affirming care for minors in all 50 states, saying that the US government will only recognize male and female as genders.",[],tweet,32861,2024-11-09
192,"Donald Trump is the ONLY person who can save this country, and millions of people know it",[],reply,275,2024-11-05
193,"‼️CNN‼️ MSNBC‼️ and ‼️The View‼️ Said the United States is racist because they all came together and voted Donald Trump back into office.

This man is very smart. Listen to what he says. https://t.co/v09MkmqZt7",[],tweet,25986,2024-11-09
194,"The 2024 Pennsylvania Republican vs Democrat vote is now over 500k better than the same day in 2020, when Biden’s victory margin was only 80k!

Moreover, yesterday there were more Republican early votes than Democrat.

Pennsylvania will be a decisive Republican victory. https://t.co/MQyvjc1exf",[],tweet,181815,2024-10-30
195,"BREAKING NOW 🚨 Donald Trump just dropped the 🎤 with his First post since being elected 🔥

THE MAGA RED WAVE WAS HUGE 🇺🇸 

LET’S FREAKING GO 👏 https://t.co/jDOwowCvS8",[],tweet,3328,2024-11-08
