row_id,text,like_count,date
78,“Why isn’t Biden talking about-“ I assure you he absolutely is,112,2024-06-12
79,Can I get 1000 Fuck Joe Biden’s https://t.co/DUMUKlE0Lu,117,2024-06-12
80,Ok I’ll bite… who is Joe Biden,1106,2024-06-12
81,"@GeorgePapa19 Mr. Papadopoulos knows. Watch gold now.. and watch the US Economy. 
Biden claimed this would never happen under his administration. 👇",299,2024-06-12
82,@Mollyploofkins Essentially yes.  A cult like MAGA will not survive without POS Trump.,117,2024-06-12
83,".@guypbenson said it best, Two-Faced @JonTester is “Chuck Schumer with a flat top haircut,” and he votes like New York’s Third Senator! 

Folks are fed up with the radical Biden-Tester agenda — Montanans want common sense! #RetireTester

https://t.co/H3tYP78RqU",158,2024-06-12
84,"@KeithOlbermann @SpeakerJohnson He’s definitely not for Trump but he is a “whore.”

You on the other hand are a fucking retard Biden supporter 🫵🤡",288,2024-06-12
85,@Travis_4_Trump I have so many questions about this model of Joe Biden and who is under the mask 😂,287,2024-06-12
86,"When you get upset at your rising property taxes, just remember this graph and thank your local conservative MLA and your elected UCP government. 

This is the Alberta Advantage hard at work making life more unaffordable!

#abpoli #ableg #yyc #yeg #yyccc #yegcc https://t.co/TpCE5NYSwZ",163,2024-06-12
87,JUST IN - Joe Biden might soon start accepting bitcoin &amp; crypto donations via Coinbase https://t.co/hPnaxTCyTC,1600,2024-06-12
88,Donald Trump should go to Maryland and do an event with him as well,189,2024-06-13
89,@DefiantLs A Biden voter,278,2024-06-12
90,Happy Birthday President Trump!,136,2024-06-13
91,@Auriandra @SenatorRomney Spending has risen more than taxes have fallen. It’s a spending problem.,8,2024-06-12
92,"@KenGardner11 For me, the lawfare. They would have used against Reagan, W Bush and Romney. I can already see the charges against RDS for his flying of migrants to MA, I can see some Haley finance law imbroglio.

If Biden wins, guarantee it.",0,2024-06-12
93,@JayneLake2 @TrulyAmRobin It was all Elmos doing. Bet on it. He's helping MAGA all he can.,3,2024-06-12
94,"@Osborne__Cox Does the corrupt GOP House believe this is a win?
They are losing all over the place.",0,2024-06-12
95,Lyin Biden’,0,2024-06-12
96,"And here is Policy Engine's analysis of the Conservative manifesto: The poor will be poorer and the rich richer. Poverty would increase overall, but particularly amongst the elderly! https://t.co/Bv6WOBq1YH",10,2024-06-12
97,"@TimFlyn09757780 @GOP Absolutely! It's time for accountability. Those who betray public trust must face consequences. We won't tolerate corruption any longer. Justice must prevail, and we'll persist until it does.",0,2024-06-12
98,@Mrgunsngear Thanks biden,0,2024-06-12
99,"@GOP @SenateGOP @HouseGOP you might wonder how we get ourselves out of this mess.  See no one who has morales and skills for the job wants to be up to their eyeballs in Washington politics. That’s how you get Rick Scott and the orange idiot, who are as morally bankrupt as you get",0,2024-06-12
100,satire that's only one step ahead of reality,1,2024-06-12
